,ACB,BID,BVH,CTG,FPT,GAS,HDB,HPG,MBB,MSN,MWG,PDR,SSI,STB,TCB,TPB,VCB,VIB,VIC,VNM,VPB
35,Vốn chủ sở hữu,Vốn chủ sở hữu,Dự phòng phí nhượng tái bảo hiểm ,Vốn chủ sở hữu,Dự phòng phải thu dài hạn,Dự phòng phải thu dài hạn,Vốn chủ sở hữu,Dự phòng phải thu dài hạn,Vốn chủ sở hữu,Dự phòng phải thu dài hạn,Dự phòng phải thu dài hạn,Dự phòng phải thu dài hạn,Thuế VAT được khấu trừ,Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,Dự phòng phải thu dài hạn,Dự phòng phải thu dài hạn,Vốn chủ sở hữu
36,Vốn của tổ chức tín dụng,Vốn của tổ chức tín dụng,Dự phòng bồi thường nhượng tái bảo hiểm ,Vốn của tổ chức tín dụng,Tài sản cố định,Tài sản cố định,Vốn của tổ chức tín dụng,Tài sản cố định,Vốn của tổ chức tín dụng,Tài sản cố định,Tài sản cố định,Tài sản cố định,Phải thu thuế khác,Vốn của tổ chức tín dụng,Vốn của tổ chức tín dụng,Vốn của tổ chức tín dụng,Vốn của tổ chức tín dụng,Vốn của tổ chức tín dụng,Tài sản cố định,Tài sản cố định,Vốn của tổ chức tín dụng
37,Vốn điều lệ,Vốn điều lệ,,Vốn điều lệ,GTCL TSCĐ hữu hình,GTCL TSCĐ hữu hình,Vốn điều lệ,GTCL TSCĐ hữu hình,Vốn điều lệ,GTCL TSCĐ hữu hình,GTCL TSCĐ hữu hình,GTCL TSCĐ hữu hình,Giao dịch mua bán lại trái phiếu chính phủ,Vốn điều lệ,Vốn điều lệ,Vốn điều lệ,Vốn điều lệ,Vốn điều lệ,GTCL TSCĐ hữu hình,GTCL TSCĐ hữu hình,Vốn điều lệ
38,Vốn đầu tư XDCB,Vốn đầu tư XDCB,,Vốn đầu tư XDCB,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Vốn đầu tư XDCB,Nguyên giá TSCĐ hữu hình,Vốn đầu tư XDCB,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Tài sản lưu động khác,Vốn đầu tư XDCB,Vốn đầu tư XDCB,Vốn đầu tư XDCB,Vốn đầu tư XDCB,Vốn đầu tư XDCB,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Vốn đầu tư XDCB
39,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,,Thặng dư vốn cổ phần,Khấu hao lũy kế TSCĐ hữu hình,Khấu hao lũy kế TSCĐ hữu hình,Thặng dư vốn cổ phần,Khấu hao lũy kế TSCĐ hữu hình,Thặng dư vốn cổ phần,Khấu hao lũy kế TSCĐ hữu hình,Khấu hao lũy kế TSCĐ hữu hình,Khấu hao lũy kế TSCĐ hữu hình,Dự phòng suy giảm giá trị TSNH khác,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Khấu hao lũy kế TSCĐ hữu hình,Khấu hao lũy kế TSCĐ hữu hình,Thặng dư vốn cổ phần
40,Cổ phiếu Quỹ,Cổ phiếu Quỹ,TÀI SẢN DÀI HẠN,Cổ phiếu Quỹ,GTCL Tài sản thuê tài chính,GTCL Tài sản thuê tài chính,Cổ phiếu Quỹ,GTCL Tài sản thuê tài chính,Cổ phiếu Quỹ,GTCL Tài sản thuê tài chính,GTCL Tài sản thuê tài chính,GTCL Tài sản thuê tài chính,TÀI SẢN DÀI HẠN ,Cổ phiếu Quỹ,Cổ phiếu Quỹ,Cổ phiếu Quỹ,Cổ phiếu Quỹ,Cổ phiếu Quỹ,GTCL Tài sản thuê tài chính,GTCL Tài sản thuê tài chính,Cổ phiếu Quỹ
41,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Phải thu dài hạn,Cổ phiếu ưu đãi,Nguyên giá tài sản thuê tài chính,Nguyên giá tài sản thuê tài chính,Cổ phiếu ưu đãi,Nguyên giá tài sản thuê tài chính,Cổ phiếu ưu đãi,Nguyên giá tài sản thuê tài chính,Nguyên giá tài sản thuê tài chính,Nguyên giá tài sản thuê tài chính,Tài sản tài chính dài hạn,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Nguyên giá tài sản thuê tài chính,Nguyên giá tài sản thuê tài chính,Cổ phiếu ưu đãi
42,Vốn khác,Vốn khác,Phải thu khách hàng dài hạn,Vốn khác,Khấu hao lũy kế tài sản thuê tài chính,Khấu hao lũy kế tài sản thuê tài chính,Vốn khác,Khấu hao lũy kế tài sản thuê tài chính,Vốn khác,Khấu hao lũy kế tài sản thuê tài chính,Khấu hao lũy kế tài sản thuê tài chính,Khấu hao lũy kế tài sản thuê tài chính,Phải thu dài hạn,Vốn khác,Vốn khác,Vốn khác,Vốn khác,Vốn khác,Khấu hao lũy kế tài sản thuê tài chính,Khấu hao lũy kế tài sản thuê tài chính,Vốn khác
43,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng,,Quỹ của tổ chức tín dụng,GTCL tài sản cố định vô hình,GTCL tài sản cố định vô hình,Quỹ của tổ chức tín dụng,GTCL tài sản cố định vô hình,Quỹ của tổ chức tín dụng,GTCL tài sản cố định vô hình,GTCL tài sản cố định vô hình,GTCL tài sản cố định vô hình,Phải thu khách hàng dài hạn,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng,GTCL tài sản cố định vô hình,GTCL tài sản cố định vô hình,Quỹ của tổ chức tín dụng
44,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Vốn kinh doanh ở các đơn vị trực thuộc,Chênh lệch tỷ giá hối đoái,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Chênh lệch tỷ giá hối đoái,Nguyên giá TSCĐ vô hình,Chênh lệch tỷ giá hối đoái,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Trả trước người bán dài hạn ,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Chênh lệch tỷ giá hối đoái
45,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Phải thu nội bộ dài hạn,Chênh lệch đánh giá lại tài sản,Khấu hao lũy kế TSCĐ vô hình,Khấu hao lũy kế TSCĐ vô hình,Chênh lệch đánh giá lại tài sản,Khấu hao lũy kế TSCĐ vô hình,Chênh lệch đánh giá lại tài sản,Khấu hao lũy kế TSCĐ vô hình,Khấu hao lũy kế TSCĐ vô hình,Khấu hao lũy kế TSCĐ vô hình,Vốn kinh doanh ở các đơn vị trực thuộc,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Khấu hao lũy kế TSCĐ vô hình,Khấu hao lũy kế TSCĐ vô hình,Chênh lệch đánh giá lại tài sản
46,Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,Lợi nhuận chưa phân phối,Bất động sản đầu tư,Bất động sản đầu tư,Lợi nhuận chưa phân phối,Bất động sản đầu tư,Lợi nhuận chưa phân phối,Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,Phải thu nội bộ dài hạn,Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,Bất động sản đầu tư,Bất động sản đầu tư,Lợi nhuận chưa phân phối
47,Lợi ích của cổ đông thiểu số,Lợi ích của cổ đông thiểu số,Phải thu dài hạn khác,Lợi ích của cổ đông thiểu số,Nguyên giá tài sản đầu tư,Nguyên giá tài sản đầu tư,Lợi ích của cổ đông thiểu số,Nguyên giá tài sản đầu tư,Lợi ích của cổ đông thiểu số,Nguyên giá tài sản đầu tư,Nguyên giá tài sản đầu tư,Nguyên giá tài sản đầu tư,Phải thu về cho vay dài hạn,Lợi ích của cổ đông thiểu số,Lợi ích của cổ đông thiểu số,Lợi ích của cổ đông thiểu số,Lợi ích của cổ đông thiểu số,Lợi ích của cổ đông thiểu số,Nguyên giá tài sản đầu tư,Nguyên giá tài sản đầu tư,Lợi ích của cổ đông thiểu số
