TradingDate,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2019-12-20,11175.0,28600.0,33271.0,66080.0,15173.0,32828.0,86365.0,10900.0,10162.0,10469.0,11272.0,44507.0,36042.0,30991.0,12694.0,49800.0,11781.0,217602.0,9006.0,10000.0,22800.0,12732.0,67211.0,62044.0,7200.0,102935.0,142500.0,86562.0,7260.0,32950.0
2019-12-23,11224.0,28900.0,34827.0,65625.0,15322.0,32596.0,86185.0,10200.0,10201.0,10492.0,11298.0,41755.0,36140.0,31158.0,12743.0,49100.0,11828.0,218067.0,9031.0,10200.0,23100.0,12732.0,69190.0,61749.0,7300.0,102846.0,142900.0,85119.0,7168.0,32900.0
2019-12-24,11175.0,28600.0,34944.0,63437.0,15360.0,32770.0,86635.0,9500.0,10395.0,10560.0,11137.0,44102.0,36238.0,31158.0,12694.0,49100.0,11828.0,216579.0,9031.0,10100.0,23000.0,12762.0,68505.0,61675.0,7300.0,102668.0,143500.0,85552.0,7149.0,32900.0
2019-12-25,11273.0,28600.0,35177.0,62617.0,15360.0,33409.0,87175.0,9800.0,10356.0,10538.0,11272.0,45073.0,37084.0,31437.0,12595.0,49100.0,11733.0,216115.0,8957.0,10100.0,23000.0,12732.0,68429.0,61675.0,7500.0,102668.0,143800.0,85119.0,7242.0,32800.0
2019-12-26,11126.0,28700.0,34399.0,61979.0,15360.0,33351.0,86545.0,9800.0,10279.0,10469.0,11191.0,46125.0,36889.0,31659.0,12595.0,48925.0,11685.0,216951.0,8981.0,10100.0,23050.0,12822.0,68049.0,62044.0,7500.0,102579.0,143700.0,85121.0,7297.0,33300.0
2019-12-27,11175.0,28800.0,35956.0,62708.0,15397.0,33467.0,87265.0,9600.0,10473.0,10720.0,11218.0,46044.0,36954.0,32216.0,13065.0,49363.0,11208.0,214256.0,8908.0,10150.0,23200.0,12792.0,68886.0,62265.0,7500.0,102401.0,143600.0,85994.0,7297.0,33400.0
2019-12-30,11175.0,28900.0,35878.0,63255.0,15695.0,34049.0,86725.0,9400.0,10434.0,10765.0,11245.0,46206.0,37117.0,32549.0,13065.0,49013.0,10970.0,213791.0,8932.0,10100.0,23450.0,12792.0,69882.0,63002.0,7400.0,102224.0,144400.0,84757.0,7334.0,34500.0
2019-12-31,11224.0,28900.0,35917.0,62526.0,15583.0,33874.0,84296.0,9700.0,10686.0,10697.0,11164.0,45720.0,37117.0,33106.0,12941.0,49013.0,10922.0,211932.0,8883.0,10050.0,23550.0,12762.0,69267.0,62486.0,7400.0,102224.0,146200.0,84757.0,7408.0,34000.0
2020-01-02,11323.0,28600.0,36501.0,62890.0,16031.0,34049.0,85106.0,10200.0,10783.0,10925.0,11379.0,46125.0,38093.0,31993.0,12892.0,49450.0,11351.0,208214.0,9055.0,10200.0,23800.0,12913.0,69728.0,62560.0,7400.0,102224.0,148000.0,85776.0,7612.0,34350.0
2020-01-03,11323.0,28300.0,36345.0,62526.0,15882.0,33467.0,85286.0,10800.0,10686.0,10993.0,11406.0,46530.0,37540.0,31158.0,12546.0,49976.0,11161.0,208771.0,8981.0,10200.0,23650.0,13035.0,69037.0,62781.0,7400.0,102490.0,148000.0,86067.0,7557.0,34600.0
2020-01-06,11076.0,27800.0,35644.0,61614.0,15919.0,33119.0,87985.0,10600.0,10473.0,10925.0,11245.0,45801.0,37344.0,31047.0,12669.0,50151.0,10827.0,208028.0,8957.0,10050.0,23050.0,12822.0,67194.0,61454.0,7300.0,101779.0,146000.0,85412.0,7390.0,33650.0
2020-01-07,11076.0,27600.0,36345.0,61523.0,16180.0,33758.0,87355.0,10200.0,10356.0,10788.0,11272.0,45963.0,37638.0,31325.0,11805.0,49450.0,10731.0,208214.0,8981.0,10150.0,23200.0,12853.0,67424.0,61749.0,7300.0,101957.0,145900.0,86212.0,7538.0,33950.0
2020-01-08,10880.0,27100.0,36656.0,60156.0,16143.0,33003.0,87265.0,10000.0,10356.0,10674.0,11110.0,45316.0,36726.0,30046.0,12620.0,48750.0,10254.0,207470.0,8735.0,9980.0,22750.0,12671.0,66810.0,60791.0,7200.0,101601.0,144800.0,86431.0,7445.0,32700.0
2020-01-09,11027.0,26900.0,38641.0,59336.0,16739.0,33467.0,85646.0,10000.0,10667.0,10925.0,11298.0,46125.0,37279.0,30936.0,12842.0,49188.0,10397.0,211002.0,8834.0,10150.0,23050.0,12792.0,68115.0,61381.0,7200.0,101957.0,146200.0,86285.0,7686.0,34000.0
2020-01-10,11175.0,26600.0,39925.0,61067.0,17559.0,33409.0,86275.0,10300.0,10899.0,11016.0,11486.0,45720.0,37475.0,31047.0,12521.0,48750.0,10588.0,217044.0,9006.0,10500.0,23150.0,13035.0,68730.0,62265.0,7200.0,102046.0,146200.0,86503.0,7797.0,33950.0
2020-01-13,11273.0,27200.0,38991.0,60794.0,17298.0,33177.0,85736.0,10300.0,10822.0,11038.0,11433.0,46125.0,37279.0,30602.0,12175.0,48925.0,10493.0,217416.0,9006.0,10400.0,22950.0,13065.0,68653.0,63591.0,7300.0,102135.0,146500.0,85412.0,7631.0,33750.0
2020-01-14,11569.0,27600.0,38991.0,60156.0,17522.0,33119.0,85376.0,10300.0,10860.0,11380.0,11540.0,45801.0,37084.0,30825.0,12694.0,48575.0,10397.0,216579.0,9055.0,10300.0,22900.0,13156.0,68653.0,63591.0,7400.0,102224.0,146000.0,85703.0,7834.0,33750.0
2020-01-15,11470.0,27700.0,39691.0,60065.0,17597.0,33119.0,84566.0,10200.0,10763.0,11448.0,11513.0,45720.0,37117.0,30602.0,12645.0,48488.0,10397.0,217509.0,9055.0,10250.0,22900.0,13186.0,68576.0,63591.0,7300.0,102224.0,146000.0,85703.0,8020.0,33200.0
2020-01-16,11766.0,27900.0,42026.0,60156.0,18566.0,33700.0,83936.0,10100.0,11113.0,11516.0,11808.0,45478.0,37572.0,31158.0,12645.0,48750.0,10493.0,216858.0,9400.0,10400.0,23300.0,13277.0,68730.0,63444.0,7400.0,102224.0,146000.0,85994.0,8094.0,32800.0
2020-01-17,11716.0,27900.0,41637.0,60065.0,18603.0,33467.0,83846.0,10400.0,11074.0,11380.0,11808.0,44507.0,37800.0,31158.0,12645.0,49188.0,10302.0,217974.0,9473.0,10600.0,23400.0,13065.0,72569.0,63370.0,7400.0,102135.0,148200.0,86285.0,8112.0,32600.0
2020-01-20,11963.0,27900.0,41481.0,59609.0,18715.0,33351.0,84026.0,10500.0,10957.0,11607.0,11808.0,43940.0,38614.0,31158.0,12645.0,49013.0,10207.0,219368.0,9473.0,10700.0,23350.0,13035.0,72185.0,63370.0,7400.0,102135.0,147000.0,86576.0,8334.0,32000.0
2020-01-21,12061.0,28000.0,42026.0,60065.0,18864.0,32247.0,85376.0,10700.0,11229.0,11767.0,12103.0,44102.0,39070.0,31158.0,12842.0,49800.0,10397.0,216579.0,9473.0,10900.0,24050.0,13035.0,72185.0,64475.0,7500.0,102135.0,147000.0,88031.0,8723.0,32600.0
2020-01-22,12061.0,28100.0,43194.0,61067.0,19088.0,32828.0,85376.0,10900.0,11248.0,11972.0,12023.0,43212.0,38810.0,31158.0,13089.0,50151.0,10588.0,216115.0,9498.0,10900.0,24200.0,13035.0,71725.0,65875.0,7500.0,102135.0,146500.0,88249.0,8742.0,32600.0
2020-01-30,11618.0,27300.0,41014.0,57513.0,18156.0,31782.0,82767.0,10600.0,10841.0,11516.0,11406.0,40541.0,37117.0,30658.0,12966.0,48488.0,10588.0,202637.0,9104.0,10350.0,22900.0,12974.0,68269.0,64402.0,7300.0,102135.0,140000.0,84830.0,8409.0,30950.0
2020-01-31,11323.0,26800.0,40081.0,53593.0,18193.0,30214.0,77819.0,10100.0,10473.0,10970.0,11164.0,40541.0,36075.0,30658.0,12867.0,46387.0,10016.0,197059.0,8711.0,10200.0,21600.0,12671.0,68115.0,64475.0,7200.0,102046.0,130200.0,78937.0,8316.0,30050.0
2020-02-03,11126.0,24500.0,41637.0,50677.0,18752.0,29923.0,74850.0,9200.0,10473.0,11175.0,10923.0,40461.0,35424.0,31158.0,12867.0,44637.0,9529.0,194178.0,8391.0,10250.0,21450.0,12580.0,68115.0,62781.0,7100.0,102046.0,125500.0,78792.0,8371.0,30200.0
2020-02-04,11421.0,24500.0,42337.0,50768.0,20057.0,30097.0,73770.0,9500.0,10686.0,11198.0,11352.0,40461.0,35131.0,30602.0,12892.0,44374.0,9062.0,188694.0,8366.0,10200.0,21750.0,12732.0,68960.0,63149.0,7200.0,102046.0,129000.0,76391.0,8686.0,29250.0
2020-02-05,11323.0,24900.0,41637.0,51771.0,19796.0,30214.0,73411.0,9500.0,11016.0,11129.0,11352.0,40461.0,35163.0,30046.0,12892.0,45074.0,9129.0,180328.0,8342.0,10250.0,21750.0,12792.0,68269.0,63370.0,7300.0,101779.0,127000.0,77555.0,8946.0,28950.0
2020-02-06,11815.0,25500.0,41404.0,53229.0,20691.0,31143.0,77279.0,9800.0,11597.0,11471.0,11701.0,40380.0,35651.0,29489.0,12916.0,45512.0,9587.0,176610.0,8711.0,10950.0,22350.0,12974.0,68653.0,63960.0,7400.0,101690.0,127500.0,78209.0,9446.0,30950.0
2020-02-07,11716.0,25900.0,40236.0,54505.0,20057.0,30969.0,77369.0,9900.0,11617.0,11084.0,11486.0,40380.0,35391.0,30101.0,12941.0,45337.0,9453.0,181258.0,8711.0,11150.0,22150.0,12610.0,69114.0,64107.0,7400.0,101690.0,131200.0,80174.0,9390.0,32000.0
2020-02-10,11618.0,25200.0,38213.0,52409.0,19833.0,30562.0,78089.0,9700.0,11442.0,11084.0,11272.0,40380.0,34447.0,30101.0,12818.0,45162.0,9234.0,181258.0,8637.0,10950.0,21850.0,12671.0,68269.0,63517.0,7200.0,101068.0,129000.0,79301.0,9112.0,31100.0
2020-02-11,11667.0,24500.0,39536.0,52682.0,20691.0,31143.0,77009.0,10000.0,11248.0,10742.0,11379.0,40380.0,34675.0,30157.0,12793.0,46212.0,9405.0,180328.0,8588.0,11350.0,22150.0,12732.0,68499.0,63517.0,7300.0,100801.0,129000.0,77991.0,9409.0,31400.0
2020-02-12,12603.0,25500.0,39536.0,52409.0,20281.0,31434.0,77369.0,9900.0,11326.0,10834.0,11620.0,40865.0,35489.0,30268.0,12793.0,46300.0,10064.0,177539.0,8760.0,11550.0,22650.0,12762.0,68653.0,63739.0,7400.0,99557.0,129200.0,77991.0,9575.0,31250.0
2020-02-13,12553.0,25200.0,39224.0,52409.0,20318.0,31550.0,78718.0,9800.0,11326.0,10788.0,11486.0,40622.0,35163.0,30324.0,12892.0,46650.0,10064.0,180849.0,8661.0,11500.0,22600.0,12762.0,68576.0,63370.0,7600.0,99912.0,129200.0,77773.0,9853.0,31450.0
2020-02-14,12996.0,25500.0,38913.0,51953.0,19983.0,31666.0,79618.0,10100.0,11093.0,10788.0,11674.0,40299.0,34870.0,30157.0,12892.0,46650.0,9921.0,179713.0,8760.0,11600.0,23300.0,13217.0,68576.0,64549.0,7800.0,97779.0,128600.0,77555.0,10057.0,31750.0
2020-02-17,12996.0,25100.0,40081.0,51406.0,19796.0,31492.0,78539.0,10300.0,11151.0,10811.0,11781.0,40218.0,35000.0,30213.0,12842.0,46475.0,9873.0,176115.0,8686.0,11650.0,23800.0,13217.0,68653.0,63886.0,7800.0,96001.0,128700.0,78209.0,10038.0,31400.0
